,original_language,original_title,popularity,title,vote_average,vote_count
0,en,The Shawshank Redemption,114.011,The Shawshank Redemption,8.7,24848
1,en,The Godfather,157.034,The Godfather,8.71,18876
2,en,The Dark Knight,98.444,The Dark Knight,8.512,30834
3,en,The Godfather Part II,76.862,The Godfather Part II,8.591,11402
4,en,12 Angry Men,44.152,12 Angry Men,8.5,7759
5,en,Schindler's List,58.43,Schindler's List,8.571,14741
6,en,The Lord of the Rings: The Return of the King,91.718,The Lord of the Rings: The Return of the King,8.475,22506
7,en,Pulp Fiction,74.752,Pulp Fiction,8.488,26079
8,en,The Lord of the Rings: The Fellowship of the Ring,110.494,The Lord of the Rings: The Fellowship of the Ring,8.404,23479
9,it,"Il buono, il brutto, il cattivo",62.812,"The Good, the Bad and the Ugly",8.471,7845
10,en,Forrest Gump,69.057,Forrest Gump,8.476,25596
11,en,Fight Club,87.9,Fight Club,8.439,27438
12,en,The Lord of the Rings: The Two Towers,98.524,The Lord of the Rings: The Two Towers,8.387,20411
13,en,Inception,81.722,Inception,8.365,34689
14,en,The Empire Strikes Back,37.12,The Empire Strikes Back,8.391,15865
15,en,The Matrix,87.617,The Matrix,8.207,24014
16,en,GoodFellas,65.318,GoodFellas,8.466,11850
17,en,One Flew Over the Cuckoo's Nest,47.705,One Flew Over the Cuckoo's Nest,8.421,9727
18,en,Se7en,61.035,Se7en,8.4,19563
19,en,It's a Wonderful Life,38.078,It's a Wonderful Life,8.259,3890
20,ja,七人の侍,36.567,Seven Samurai,8.452,3282
21,en,Interstellar,140.649,Interstellar,8.419,32818
22,en,The Silence of the Lambs,12.925,The Silence of the Lambs,8.343,15154
23,en,Spider-Man: Across the Spider-Verse,572.644,Spider-Man: Across the Spider-Verse,8.409,4755
24,en,Saving Private Ryan,51.581,Saving Private Ryan,8.211,14759
25,pt,Cidade de Deus,35.701,City of God,8.4,6759
26,it,La vita è bella,43.028,Life Is Beautiful,8.455,12321
27,en,The Green Mile,78.079,The Green Mile,8.507,16082
28,en,Star Wars,91.206,Star Wars,8.204,19267
29,en,Terminator 2: Judgment Day,71.601,Terminator 2: Judgment Day,8.106,11838
30,en,Back to the Future,71.16,Back to the Future,8.312,18591
31,ja,千と千尋の神隠し,99.195,Spirited Away,8.539,15038
32,en,The Pianist,44.594,The Pianist,8.383,8439
33,en,Psycho,53.51,Psycho,8.435,9365
34,en,Parasite,11.122,Parasite,4.775,50
35,en,Gladiator,63.018,Gladiator,8.21,17104
36,en,The Lion King,78.987,The Lion King,7.123,9385
37,en,Léon: The Professional,56.203,Léon: The Professional,8.315,13755
38,en,American History X,34.666,American History X,8.351,10805
39,en,The Departed,49.874,The Departed,8.168,13904
40,en,Whiplash,65.418,Whiplash,8.4,14004
